,CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Latitude,Longitude,FoodDesert
254,6067009109,California,Sacramento,1,4842,1723,0,23,0.0047501,0,0,0,0,0,0,12.9,77885,0,1,0,1,0,0,0,0,4355.907024,0,0,1052.520897,0,4355.907024,0.899609051,1052.520897,0.217373172,872.6107859,0.180217015,556.4014672,0.114911497,2921.29037,0.603323084,413.7053065,0.085440997,398.1158312,0.082221361,18.30366608,0.003780187,42.55249035,0.008788205,561.9393273,0.11605521,769.2891727,0.158878392,58.48174441,0.033941813,67.92187177,0.039420703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1351,973,616,3224,475,444,21,49,629,870,70,75,38.5555504,-121.3606353,0
255,6067009110,California,Sacramento,1,1482,602,0,16,0.0107962,0,1,0,1,1,1,44.3,23534,0,1,0,1,0,0,1,4.095012665,1481.999989,4.095012665,2.757342696,1192.254227,2.757342696,1481.999989,0.999999992,1192.254227,0.804490032,417.9999957,0.282051279,79.00000114,0.053306344,531.9999972,0.358974357,529.9999891,0.357624824,104.0000026,0.07017544,8.000000238,0.005398111,24.00000015,0.016194332,283.9999981,0.191632927,358.9999988,0.242240215,101.9003528,0.169269689,174.4649655,0.289808913,4.095012665,0.002763166,2.757342696,0.001860555,0.767814875,0.000518094,0,0,2.303444624,0.001554281,0.383907437,0.000259047,1.151722312,0.000777141,0,0,0,0,0.255938292,0.000172698,0.511876583,0.000345396,0.119971074,0.000199287,0.222519599,0.000369634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144,418,79,532,530,104,8,24,284,359,106,182,38.5576271,-121.3713784,0
256,6067009111,California,Sacramento,1,5539,2154,0,4,0.0007222,0,0,0,0,0,0,14.7,58722,0,1,0,1,0,0,0,0,1283.501544,0,0,320.9632448,0,1283.501544,0.231720806,320.9632448,0.057946063,309.6756802,0.055908229,73.62662501,0.013292404,674.0750712,0.121696167,142.1783118,0.025668589,182.3376198,0.03291887,10.87236448,0.001962875,17.1050691,0.003088115,256.9331236,0.046386193,298.0437953,0.053808232,7.957918813,0.003694484,42.08984627,0.019540319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2157,1391,413,3087,633,684,49,90,996,1235,74,188,38.5419331,-121.3639394,0
257,6067009112,California,Sacramento,1,3630,1302,0,19,0.0052342,0,0,0,0,0,0,18.1,71917,0,1,0,1,0,0,0,119.0759687,930.6755837,119.0759687,43.15962063,337.3275498,43.15962063,930.6755837,0.256384458,337.3275498,0.0929277,258.2207538,0.071135194,62.6454242,0.017257693,557.6386965,0.153619476,86.15783367,0.02373494,127.710132,0.035181855,1.270654083,0.000350042,6.483471996,0.00178608,151.4147989,0.041712066,185.7946921,0.051183111,0,0,40.7017805,0.031260968,119.0759687,0.032803297,43.15962063,0.011889703,36.62944794,0.010090757,7.65667104,0.002109276,76.08876416,0.020961092,13.5087328,0.003721414,13.76851654,0.00379298,0,0,1.162087969,0.000320134,14.54786682,0.004007677,20.71425199,0.005706406,0,0,5.131620872,0.003941337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569,894,234,2103,404,390,18,51,664,838,112,190,38.538965,-121.3457916,0
258,6067009201,California,Sacramento,0,2293,874,0,36,0.0157,0,0,0,0,0,1,23.7,41685,0,0,0,0,0,0,0,0,0,0,0,0,0,2292.957702,0.999981553,1194.018027,0.520723082,509.9915462,0.222412362,430.9999989,0.187963366,1352.974622,0.590045627,171.0000017,0.074574794,363.0000026,0.158307895,23.00000004,0.010030528,40.0000005,0.017444396,342.9830816,0.149578317,453.9830844,0.197986517,45.93222864,0.052554037,137.3982709,0.15720626,2259.3082,0.985306673,1176.415712,0.513046538,503.7250914,0.219679499,428.1577082,0.186723815,1337.74449,0.583403615,169.020698,0.0737116,355.7561484,0.155148778,22.947075,0.010007447,39.22691847,0.017107247,334.6128767,0.145927988,445.3628421,0.194227144,45.17720661,0.051690168,135.5342846,0.155073552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519,510,431,1353,171,363,23,40,343,454,57,169,38.5003097,-121.3406904,0
259,6067009307,California,Sacramento,1,5241,1744,0,128,0.0244228,0,0,0,0,0,0,13.4,98938,0,1,0,1,0,0,0,0,3413.700852,0,0,771.9710321,0,3413.700852,0.651345326,771.9710321,0.147294606,824.7488216,0.157364782,497.4393445,0.094913059,2657.56987,0.507073053,136.2718534,0.026001117,249.1620793,0.047540942,9.19215845,0.001753894,41.23909913,0.007868555,320.2657697,0.06110776,456.2647305,0.087056808,7.704011778,0.004417438,60.04368402,0.034428718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241,1418,590,3536,304,653,36,55,657,844,16,91,38.4162688,-121.3623672,0
260,6067009308,California,Sacramento,1,6032,2133,0,97,0.0160809,0,0,0,0,0,0,8.3,65567,0,1,0,1,0,0,0,0,767.1687473,0,0,166.0407302,0,767.1687473,0.127183148,166.0407302,0.027526646,178.9720769,0.029670437,110.4120004,0.018304377,556.0042254,0.092175767,30.42457791,0.005043862,54.46236545,0.009028907,3.343550205,0.000554302,10.05196452,0.00166644,112.8820623,0.01871387,146.0287828,0.024209016,41.01029782,0.019226581,23.62041047,0.011073798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810,1458,844,4240,240,486,28,84,954,1321,247,185,38.4166717,-121.3819931,0
261,6067009309,California,Sacramento,1,2282,872,0,25,0.0109553,0,0,0,0,0,0,7.7,73242,0,0,0,0,0,0,0,48.67765629,494.5876177,48.67765629,7.24086722,74.11390583,7.24086722,494.5876177,0.216734276,74.11390583,0.03247761,116.6304465,0.051108872,68.84248913,0.030167611,411.941633,0.180517806,12.13706381,0.005318608,21.24093699,0.009308035,0,0,6.571579629,0.002879746,42.69641179,0.018710084,69.84857906,0.030608492,8.514598918,0.009764448,5.282976986,0.00605846,48.67765629,0.021331138,7.24086722,0.003173036,9.934215754,0.004353293,7.748688072,0.003395569,38.74344254,0.016977845,1.986843154,0.000870659,2.582895953,0.001131856,0,0,0.993421577,0.000435329,4.371054851,0.001915449,7.152635045,0.003134371,0.858147118,0.000984114,0.526653958,0.000603961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,478,486,1894,44,124,4,33,183,304,17,28,38.4008878,-121.3774487,0
262,6067009310,California,Sacramento,1,7000,2434,0,48,0.0068571,0,0,0,0,1,0,10.2,82333,1,1,1,1,1,0,1,3050.034456,6531.945633,3050.034456,280.9748575,1234.953457,280.9748575,6531.945633,0.93313509,1234.953457,0.176421922,1674.01913,0.23914559,645.5873022,0.092226757,4900.121332,0.700017333,269.929346,0.038561335,408.1957255,0.058313675,38.8050267,0.005543575,64.0802761,0.009154325,850.8139333,0.121544848,1229.77547,0.17568221,104.7562237,0.043038711,180.8936366,0.074319489,3050.034456,0.435719208,280.9748575,0.040139265,817.8233594,0.116831908,230.6238784,0.032946268,2223.410162,0.317630023,153.583694,0.021940528,231.1016407,0.03301452,24.88699252,0.003555285,37.31786338,0.005331123,379.7340889,0.054247727,513.7406434,0.07339152,24.01713257,0.009867351,79.29658062,0.03257871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501,1799,697,5232,287,439,41,69,932,1352,123,197,38.3933575,-121.36407,0
263,6067009311,California,Sacramento,1,6407,1899,0,71,0.0110816,0,0,0,0,0,0,14.6,73947,1,1,1,1,1,0,0,4699.935509,6407.000002,4699.935509,1750.099899,2369.040052,1750.099899,6407.000002,1,2369.040052,0.369758085,1864.999998,0.291087872,468.0000018,0.073045107,2947.999996,0.460121741,576.0000008,0.08990167,1752,0.273450913,79.99999891,0.012486343,54.00000048,0.008428282,997.0000017,0.155611051,1291.000002,0.201498362,19.58595969,0.010313828,198.431599,0.10449268,4699.935509,0.733562589,1750.099899,0.273154347,1381.56053,0.215632984,320.1535891,0.049969344,2064.855865,0.322281234,431.4548425,0.067341165,1401.513654,0.218747254,42.42315616,0.006621376,36.63961193,0.005718685,723.0483792,0.112852876,929.2944494,0.145043616,18.31279937,0.009643391,144.10145,0.075882807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2424,1865,468,2948,576,1752,80,54,997,1291,21,207,38.47288,-121.3529418,0
